Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell type]	Characteristics[time]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[infect]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[spike sequence file]	Comment[spike concentration file]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number	Factor Value[infect]	Factor Value[cell type]
1771-019-267-A1	ERS1064048	SAMEA3876914	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A1	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A1	sequencing assay	ERX1348445	1771-019-267-A1.fastq.gz	1771-019-267-A1.fastq.gz	ERR1276858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/008/ERR1276858/ERR1276858_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A1	ERS1064048	SAMEA3876914	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A1	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A1	sequencing assay	ERX1348445	1771-019-267-A1.fastq.gz	1771-019-267-A1.fastq.gz	ERR1276858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/008/ERR1276858/ERR1276858_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A11	ERS1064049	SAMEA3876915	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A11	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A11	sequencing assay	ERX1348446	1771-019-267-A11.fastq.gz	1771-019-267-A11.fastq.gz	ERR1276859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/009/ERR1276859/ERR1276859_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A11	ERS1064049	SAMEA3876915	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A11	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A11	sequencing assay	ERX1348446	1771-019-267-A11.fastq.gz	1771-019-267-A11.fastq.gz	ERR1276859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/009/ERR1276859/ERR1276859_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A12	ERS1064050	SAMEA3876916	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A12	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A12	sequencing assay	ERX1348447	1771-019-267-A12.fastq.gz	1771-019-267-A12.fastq.gz	ERR1276860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/000/ERR1276860/ERR1276860_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A12	ERS1064050	SAMEA3876916	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A12	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A12	sequencing assay	ERX1348447	1771-019-267-A12.fastq.gz	1771-019-267-A12.fastq.gz	ERR1276860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/000/ERR1276860/ERR1276860_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A2	ERS1064051	SAMEA3876917	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A2	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A2	sequencing assay	ERX1348448	1771-019-267-A2.fastq.gz	1771-019-267-A2.fastq.gz	ERR1276861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/001/ERR1276861/ERR1276861_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A2	ERS1064051	SAMEA3876917	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A2	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A2	sequencing assay	ERX1348448	1771-019-267-A2.fastq.gz	1771-019-267-A2.fastq.gz	ERR1276861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/001/ERR1276861/ERR1276861_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A3	ERS1064052	SAMEA3876918	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A3	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A3	sequencing assay	ERX1348449	1771-019-267-A3.fastq.gz	1771-019-267-A3.fastq.gz	ERR1276862	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/002/ERR1276862/ERR1276862_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A3	ERS1064052	SAMEA3876918	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A3	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A3	sequencing assay	ERX1348449	1771-019-267-A3.fastq.gz	1771-019-267-A3.fastq.gz	ERR1276862	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/002/ERR1276862/ERR1276862_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
