sequence ID	concentration (attomoles/ul)
ERCC-00130	7.500000000000000
ERCC-00004	1.875000000000000
ERCC-00136	0.468750000000000
ERCC-00108	0.234375000000000
ERCC-00116	0.117187500000000
ERCC-00092	0.058593750000000
ERCC-00095	0.029296875000000
ERCC-00131	0.029296875000000
ERCC-00062	0.014648437500000
ERCC-00019	0.007324218750000
ERCC-00144	0.007324218750000
ERCC-00170	0.003662109375000
ERCC-00154	0.001831054687500
ERCC-00085	0.001831054687500
ERCC-00028	0.000915527345000
ERCC-00033	0.000457763672500
ERCC-00134	0.000457763672500
ERCC-00147	0.000228881835000
ERCC-00097	0.000114440917500
ERCC-00156	0.000114440917500
ERCC-00123	0.000057220460000
ERCC-00017	0.000028610230000
ERCC-00083	0.000007152557500
ERCC-00096	3.750000000000000
ERCC-00171	0.937500000000000
ERCC-00009	0.234375000000000
ERCC-00042	0.117187500000000
ERCC-00060	0.058593750000000
ERCC-00035	0.029296875000000
ERCC-00025	0.014648437500000
ERCC-00051	0.014648437500000
ERCC-00053	0.007324218750000
ERCC-00148	0.003662109375000
ERCC-00126	0.003662109375000
ERCC-00034	0.001831054687500
ERCC-00150	0.000915527345000
ERCC-00067	0.000915527345000
ERCC-00031	0.000457763672500
ERCC-00109	0.000228881835000
ERCC-00073	0.000228881835000
ERCC-00158	0.000114440917500
ERCC-00104	0.000057220460000
ERCC-00142	0.000057220460000
ERCC-00138	0.000028610230000
ERCC-00117	0.000014305115000
ERCC-00075	0.000003576280000
ERCC-00074	3.750000000000000
ERCC-00113	0.937500000000000
ERCC-00145	0.234375000000000
ERCC-00111	0.117187500000000
ERCC-00076	0.058593750000000
ERCC-00044	0.029296875000000
ERCC-00162	0.014648437500000
ERCC-00071	0.014648437500000
ERCC-00084	0.007324218750000
ERCC-00099	0.003662109375000
ERCC-00054	0.003662109375000
ERCC-00157	0.001831054687500
ERCC-00143	0.000915527345000
ERCC-00039	0.000915527345000
ERCC-00058	0.000457763672500
ERCC-00120	0.000228881835000
ERCC-00040	0.000228881835000
ERCC-00164	0.000114440917500
ERCC-00024	0.000057220460000
ERCC-00016	0.000057220460000
ERCC-00012	0.000028610230000
ERCC-00098	0.000014305115000
ERCC-00057	0.000003576280000
ERCC-00002	3.750000000000000
ERCC-00046	0.937500000000000
ERCC-00003	0.234375000000000
ERCC-00043	0.117187500000000
ERCC-00022	0.058593750000000
ERCC-00112	0.029296875000000
ERCC-00165	0.014648437500000
ERCC-00079	0.014648437500000
ERCC-00078	0.007324218750000
ERCC-00163	0.003662109375000
ERCC-00059	0.003662109375000
ERCC-00160	0.001831054687500
ERCC-00014	0.000915527345000
ERCC-00077	0.000915527345000
ERCC-00069	0.000457763672500
ERCC-00137	0.000228881835000
ERCC-00013	0.000228881835000
ERCC-00168	0.000114440917500
ERCC-00041	0.000057220460000
ERCC-00081	0.000057220460000
ERCC-00086	0.000028610230000
ERCC-00061	0.000014305115000
ERCC-00048	0.000003576280000
